...1,...2,Name,Username,Profile ID,Date,Likes,Comment,User Verified,Thumbnail,Comment ID,Profile URL,Comment URL
11,NA,divadeisis,divadeisis,57527488165,2026-01-04T02:32:57Z,0,👏,no,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/623879319_17995074320912166_8414266763406103685_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QEm2bVX_mb2MloDu3iO38bmCOqboS3yt78zg50eB3ugU-z8q--gBg71S_wPhqngAeY&_nc_ohc=1DigUHa4uNgQ7kNvwFOcWy1&_nc_gid=t7reA3ArturF-mPadGKTAg&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AftHOpAZ4NfonzlRW4ZNCDUh0lEBzddhBfWChm6zvDjUTA&oe=6987A9F5&_nc_sid=0985b0,17872349391496620,https://www.instagram.com/divadeisis,https://www.instagram.com/p/DTCxqH4jhgL/c/17872349391496619
12,NA,gabriel1956ano,gabriel1956ano,8767104603,2026-01-04T02:48:17Z,0,"Estamos impotentes,  por enquanto.",no,https://instagram.fxnh2-1.fna.fbcdn.net/v/t51.2885-19/573323465_1219825463302212_7278921664109726296_n.png?stp=dst-jpg_e0_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xNTAuYzIifQ&_nc_ht=instagram.fxnh2-1.fna.fbcdn.net&_nc_cat=1&_nc_oc=Q6cZ2QHVJYcL1WrMWn3_pYcSQPRMQqTjleZjICgqpliuA87wzTG_7RhhJGxMjt41i8Dt5aE&_nc_ohc=SqKFb_fcltUQ7kNvwHZLyY6&_nc_gid=BTypL6IOx6XK2hSLzhS3LA&edm=AEsR1pMBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.3-ccb7-5&oh=00_AfuGXH-qEAzy2OPiLOXj_goh3xNDagZByklZh7aSO7X5_Q&oe=6987D66A&_nc_sid=e2f88a,18118110076577832,https://www.instagram.com/gabriel1956ano,https://www.instagram.com/p/DTCxqH4jhgL/c/18118110076577834
13,NA,lucilenesog,lucilenesog,1713203363,2026-01-04T10:33:25Z,0,😂😂😂😂😂😂agora vai deletar o lula,no,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-19/233691449_978877269557743_6200963607994490837_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=xBKViAYygVkQ7kNvwH1RVJ0&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfvR-TlWBtn8aRbKNh19QGn2UUG0w8w70cMF97HXXjsB8w&oe=6987D22B&_nc_sid=0985b0,17992629452880876,https://www.instagram.com/lucilenesog,https://www.instagram.com/p/DTCxqH4jhgL/c/17992629452880876
14,NA,oliveiracliferson,oliveiracliferson,59589533056,2026-01-04T11:36:04Z,0,"@investidordazarabia  realmente tem gente comemorando , mas olha daqui a um ano se esses mesmo vão comemorar. Os EUA só invadem países produtores de petróleo, acabam com o país suga tudo que tem direito e depois vai em bora , só olhar a história dos países  que sofreram com isso , mais recente o Iraque que ficaram mais de uma década . O que aconteceu? O tali am voltou ao poder o povo que já estava fragilizados pelo EUA , ficou mais aí da com a volta do talibam , e entraram com mesma desculpa que invadiram a Venezuela .",no,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/530666250_17958251681989057_15254302964531990_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=siL_-nalmpAQ7kNvwG179Bt&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AfuFnasFV2p75b7juiL8Cx15AbLb7q7MvnwkC1gSXY1SSw&oe=6987B68A&_nc_sid=0985b0,18179559604365836,https://www.instagram.com/oliveiracliferson,https://www.instagram.com/p/DTCxqH4jhgL/c/18179559604365837
15,NA,gabrielpires66,gabrielpires66,8465277649,2026-01-04T11:49:14Z,0,@murilodeminas nmrl palmas irmão 👏👏,no,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/506009230_18274254244285650_8003955503076668548_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDY1LmMyIn0&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=106&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=6t_fIndJF78Q7kNvwEKTQ99&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AftCtjfwFtDDbFjDXbWrVJgCg_TxEht263vpZsTZPM-QEQ&oe=6987C944&_nc_sid=0985b0,18088740752005124,https://www.instagram.com/gabrielpires66,https://www.instagram.com/p/DTCxqH4jhgL/c/18088740752005124
16,NA,barabach_,barabach_,41344381594,2026-01-04T11:55:25Z,0,Vc falou isso quando a Rússia invadiu a Ucrânia?,no,https://scontent-lhr8-2.cdninstagram.com/v/t51.2885-19/557967814_18063379553381595_6610891771275639191_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr8-2.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=yF7_nuoRObAQ7kNvwF1RJ44&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_Afu2QcBaXog294wbA45Fay2YXKT4jAojcDYJJ7v-STH4Kw&oe=6987B927&_nc_sid=0985b0,18356567539204648,https://www.instagram.com/barabach_,https://www.instagram.com/p/DTCxqH4jhgL/c/18356567539204649
17,NA,maria_regina_correia,maria_regina_correia,8373322925,2026-01-04T11:55:40Z,0,@raphael_cordeiro_cordeiro vc defende seu opressor?,no,https://scontent-lhr8-1.cdninstagram.com/v/t51.2885-19/129736841_3506727989408012_125096584678643319_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr8-1.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=wAtn7pFlBdAQ7kNvwGy_CAk&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AftT7IoBHvoojdq7kpxy8n6yC8VpOmpXlQKSjCLWt3Rvhg&oe=6987DCE0&_nc_sid=0985b0,18069692861140832,https://www.instagram.com/maria_regina_correia,https://www.instagram.com/p/DTCxqH4jhgL/c/18069692861140833
18,NA,raqueelconceicao,raqueelconceicao,61721491498,2026-01-04T12:01:57Z,0,Tô ouvindo isso não ele está preocupado com o maduro e a população morrendo esse cara tinha que ser preso miserável,no,https://scontent-lhr6-1.cdninstagram.com/v/t51.2885-19/370573825_3671227983147525_5272001555371184474_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4zMjAuYzIifQ&_nc_ht=scontent-lhr6-1.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=zqHamzcdpGEQ7kNvwF69EFL&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AftvLMcy0VpnQeeGmMIiSLG6qVFJ5f9xuHpb3yK899XojA&oe=6987BE81&_nc_sid=0985b0,18109835638723392,https://www.instagram.com/raqueelconceicao,https://www.instagram.com/p/DTCxqH4jhgL/c/18109835638723392
19,NA,daniell_silva_353,daniell_silva_353,49686611383,2026-01-04T12:11:25Z,0,E pq o povo da Venezuela tão e festejo tão saindo de uma ditadura sofrida perseguição as  os cristãos vc ainda defende esse cara pela fé né,no,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-19/617790353_18058354412659384_3094441460160912051_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=104&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=lGe4-L6GmM4Q7kNvwHxjqBz&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AftxfB8Q3YSEbfE0xRrzDaCNjRZDnnKDO_8JJ1Qkv5nHBQ&oe=6987C331&_nc_sid=0985b0,18090421303954440,https://www.instagram.com/daniell_silva_353,https://www.instagram.com/p/DTCxqH4jhgL/c/18090421303954440
20,NA,karenadrianede,karenadrianede,61830254438,2026-01-04T12:21:33Z,0,"@an.dre1599 tu acha que  o Trump  está  pelo povo, os 303 bilhões  de  barris de petróleo, nunca foi pelo povo",no,https://scontent-lhr6-2.cdninstagram.com/v/t51.2885-19/380310389_325510046814629_4173581921499683360_n.jpg?stp=dst-jpg_s150x150_tt6&efg=eyJ2ZW5jb2RlX3RhZyI6InByb2ZpbGVfcGljLmRqYW5nby4xMDgwLmMyIn0&_nc_ht=scontent-lhr6-2.cdninstagram.com&_nc_cat=105&_nc_oc=Q6cZ2QGrpKY98GU8-c3N8T27lFjQGNBbOwKSNR9bBi0gI7Q7xCH_xeusMUZJ9Q_3xt1zcJY&_nc_ohc=Q-VpM-loXSIQ7kNvwGuRybC&_nc_gid=adgwgI5rUtQA8gfXUjTRKA&edm=AI-cjbYBAAAA&ccb=7-5&oh=00_AftP1b6O-Qg8fUhYnTaPzqrmL3gmSHFSuQpf6ytyGOPA3w&oe=6987ACB9&_nc_sid=0985b0,18071992589388288,https://www.instagram.com/karenadrianede,https://www.instagram.com/p/DTCxqH4jhgL/c/18071992589388288
